COUNTY_CODE,STATE,County
09001,CT,Fairfield
09003,CT,Hartford
09005,CT,Litchfield
09007,CT,Middlesex
09009,CT,New Haven
09011,CT,New London
09013,CT,Tolland
09015,CT,Windham
23001,ME,Androscoggin
23003,ME,Aroostook
23005,ME,Cumberland
23007,ME,Franklin
23009,ME,Hancock
23011,ME,Kennebec
23013,ME,Knox
23015,ME,Lincoln
23017,ME,Oxford
23019,ME,Penobscot
23021,ME,Piscataquis
23023,ME,Sagadahoc
23025,ME,Somerset
23027,ME,Waldo
23029,ME,Washington
23031,ME,York
25001,MA,Barnstable
25003,MA,Berkshire
25005,MA,Bristol
25007,MA,Dukes
25009,MA,Essex
25011,MA,Franklin
25013,MA,Hampden
25015,MA,Hampshire
25017,MA,Middlesex
25019,MA,Nantucket
25021,MA,Norfolk
25023,MA,Plymouth
25025,MA,Suffolk
25027,MA,Worcester
33001,NH,Belknap
33003,NH,Carroll
33005,NH,Cheshire
33007,NH,Coos
33009,NH,Grafton
33011,NH,Hillsborough
33013,NH,Merrimack
33015,NH,Rockingham
33017,NH,Strafford
33019,NH,Sullivan
