Uploaded,,,,,,,Purchased,,,,,,,Percent of purchased that were uploaded (new to our system),,,,,,
,,,,,,,,,,,,,,,,,,,,
,CB HA,NRCCUA HA,CB GA,NRCCUA GA,CB AA,NRCCUA AA,,CB HA,NRCCUA HA,CB GA,NRCCUA GA,CB AA,NRCCUA AA,,CB HA,NRCCUA HA,CB GA,NRCCUA GA,CB AA,NRCCUA AA
PRIMARY - ME,,,,,,,PRIMARY - ME,,,,,,,PRIMARY - ME,,,,,,
ME Sophs,,0,,0,,0,ME Sophs,,,,,,,ME Sophs,,,,,,
ME Jrs,847,131,660,109,58,0,ME Jrs,1101,283,825,148,71,8,ME Jrs,76.93%,46.29%,80.00%,73.65%,81.69%,0.00%
ME Srs,831,917,139,1,24,0,ME Srs,1404,"1,909",262,303,32,15,ME Srs,59.19%,48.04%,53.05%,0.33%,75.00%,0.00%
"SECONDARY - MA/Mdlsx; NH/Hlsb, Rock, Straff",,,,,,,"SECONDARY - MA/Mdlsx; NH/Hlsb, Rock, Straff",,,,,,,"SECONDARY - MA/Mdlsx; NH/Hlsb, Rock, Straff",,,,,,
MA Sophs,,0,,0,,0,MA Sophs,,,,,,,MA Sophs,,,,,,
MA Jrs,2253,1026,2204,767,177,0,MA Jrs,2381,"1,211",2334,821,183,48,MA Jrs,94.62%,84.72%,94.43%,93.42%,96.72%,0.00%
MA Srs,0,0,0,0,0,0,MA Srs,,,,,,,MA Srs,,,,,,
NH Sophs,,0,,0,,0,NH Sophs,,,,,,,NH Sophs,,,,,,
NH Jrs,873,96,815,118,64,0,NH Jrs,996,123,936,128,74,10,NH Jrs,87.65%,78.05%,87.07%,92.19%,86.49%,0.00%
NH Srs,932,943,576,324,174,0,NH Srs,1740,"1,215",1142,367,302,37,NH Srs,53.56%,77.61%,50.44%,88.28%,57.62%,0.00%
"TERTIARY - A other: MA, NH, CT (if cuts necessary, cut less populated and/or non-border CT towns first",,,,,,,"TERTIARY - A other: MA, NH, CT (if cuts necessary, cut less populated and/or non-border CT towns first",,,,,,,"TERTIARY - A other: MA, NH, CT (if cuts necessary, cut less populated and/or non-border CT towns first",,,,,,
MA Sophs,,0,,0,,0,MA Sophs,,,,,,,MA Sophs,,,,,,
MA Jrs,11,3074,3853,4202,,0,MA Jrs,,"3,210",3971,"4,344",,,MA Jrs,,95.76%,97.03%,96.73%,,
MA Srs,,0,,0,,0,MA Srs,,,,,,,MA Srs,,,,,,
NH Sophs,,0,,0,,0,NH Sophs,,,,,,,NH Sophs,,,,,,
NH Jrs,8,187,190,325,1,0,NH Jrs,,193,181,343,,,NH Jrs,,96.89%,104.97%,94.75%,,
NH Srs,622,0,353,0,90,0,NH Srs,,,,,,,NH Srs,,,,,,
CT Sophs,,0,,0,,0,CT Sophs,,,,,,,CT Sophs,,,,,,
CT Jrs,,3074,3242,4323,1,0,CT Jrs,,"3,176",3345,"4,476",,6,CT Jrs,,96.79%,96.92%,96.58%,,0.00%
CT Srs,0,0,0,0,0,0,CT Srs,,,,,,,CT Srs,,,,,,
"Quaternary Markets - New York - Westchester (borders Fairfield, where we have a lot of events)",,,,,,,"Quaternary Markets - New York - Westchester (borders Fairfield, where we have a lot of events)",,,,,,,"Quaternary Markets - New York - Westchester (borders Fairfield, where we have a lot of events)",,,,,,
,,,,,,,,,,,,,,,,,,,,
NY Sophs,,,,,,,NY Sophs,,,,,,,NY Sophs,,,,,,
NY Jrs,,,,,,,NY Jrs,,,,,,,NY Jrs,,,,,,
NY Srs,,,,,,,NY Srs,,,,,,,NY Srs,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total Sophomores,0,,,,,,Total Sophomores,0,,,,,,,,,,,,
Total Juniors,32689,,,,,,Total Juniors,34926,,,,,,,,,,,,
Total Seniors,5926,,,,,,Total Seniors,8728,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total All,38615,,,,,,Total All,43654,,,,,,,,,,,,
